Model:,Kit Enclosure v26
Cutting Area:, x 

Position,Name,Description,Quantity,Length (mm),Dimensions (mm)



Unrecognized Parts (only relevant if Fusion model changes and can usually be ignored)
Position,Name,Description,Quantity,Length (mm),Dimensions (mm),Path
214,Body2,,1,,200 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:1
215,Body1,,1,,200 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:3
216,Body2,,1,,200 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:3
217,Body1,,1,,200 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:2
218,Body2,,1,,200 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:2
219,Body1,,1,,295 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x295mm:2
220,Body2,,1,,295 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x295mm:2
221,Body1,,1,,150 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x150mm:1
222,Body2,,1,,150 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x150mm:1
223,Body1,,1,,200 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:4
224,Body2,,1,,200 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:4
225,terminals_panel,,1,,119 x 119 x 4,3d Printed Parts:1->XYZAB Terminals Cover:1
226,Body1,,1,,36 x 27.14 x 23.5,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->M20 Cable Gland:1->M20 Body (1) (1) (1)(Mirror):1
227,Body1,,1,,27.71 x 24 x 20,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->M20 Cable Gland:1->M20 Nut (1) (1) (1)(Mirror):1
228,Body1,,1,,30.25 x 27 x 5,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->M20 Cable Gland:1->M20 Lock Nut:1
229,Body1,,1,,29.5 x 27 x 26,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
230,Body2,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
231,Body3,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
232,Body4,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
233,Body5,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
234,Body6,,1,,10 x 6.5 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
235,Body7,,1,,18 x 13.01 x 2.56,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
236,Body8,,1,,25.5 x 22 x 2,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
237,Body9,,1,,18 x 13.01 x 2.56,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
238,Body10,,1,,22 x 19 x 7.87,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
239,Body11,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
240,Body12,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
241,Body13,,1,,10 x 6.5 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
